MCH_IS_FOR_CONSISTENCY,MCH_IS_ACTIVE,MCH_IS_HASH_END,MCH_NEW_STATE_0,MCH_NEW_STATE_1,MCH_NEW_STATE_2,MCH_NEW_STATE_3,MCH_NEW_STATE_4,MCH_NEW_STATE_5,MCH_NEW_STATE_6,MCH_NEW_STATE_7,MCH_NEW_STATE_8,MCH_NEW_STATE_9,MCH_NEW_STATE_10,MCH_NEW_STATE_11,MCH_NEW_STATE_12,MCH_NEW_STATE_13,MCH_NEW_STATE_14,MCH_NEW_STATE_15,MCH_KECCAK_0,MCH_KECCAK_1,MCH_KECCAK_2,MCH_KECCAK_3,MCH_KECCAK_4,MCH_KECCAK_5,MCH_KECCAK_6,MCH_KECCAK_7,MCH_KECCAK_8,MCH_KECCAK_9,MCH_KECCAK_10,MCH_KECCAK_11,MCH_KECCAK_12,MCH_KECCAK_13,MCH_KECCAK_14,MCH_KECCAK_15
1,1,1,0xe5bc,0xaa5b,0xe3bc,0xf1a4,0x8181,0x7c55,0x7e37,0x5509,0x2ab6,0xa4d0,0xe30d,0x2822,0x1b28,0x406d,0xcdd,0x8cd2,0xff3b,0x4bbf,0x1228,0xd0c6,0x6480,0xca57,0xc0e,0x2836,0xc489,0xdc71,0xdb53,0x7c73,0xd66b,0x87d0,0x3bdb,0xadc8
1,1,1,0x1ebb,0x36b2,0x21c3,0x84f4,0x71a1,0x2ee2,0x51a6,0x8379,0xc4d6,0x47a7,0x5b22,0x13cc,0x3ef3,0x62c6,0x940,0xb8a5,0x9c61,0xc6bd,0x7f2a,0x444,0x7c79,0xa8fc,0x9b0c,0x2542,0x8adf,0x86a6,0xf00a,0x42ef,0xe3c5,0x9de4,0x2cb5,0x2954
1,1,1,0xc617,0x9419,0xcf48,0x5863,0xf668,0xd113,0xd1b1,0x5cb6,0x7be5,0x3355,0xc3ec,0xe113,0x6455,0xf30f,0x1d85,0xce9b,0xe979,0xe4e4,0xfa4d,0xcdfe,0x83b9,0xa7e4,0x5ff5,0x51f5,0x84f1,0xe54c,0x209c,0xf5ce,0xe0ec,0xec07,0x201f,0xbef5
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x8ca6,0x3f08,0x47ef,0x32ae,0x4fa,0x640,522,0xc6b2,0x61a2,0x5620,0x9cc3,0x9f31,0xab61,0xed1f,0x653d,0x92cb,0x66d1,0x2a9e,0xd27c,0x6bad,0xbdd4,0x7d6f,0x9f69,0x4f56,0xa4e0,0x60f3,0xbe11,0x7d1a,0xaddd,0x96ee,0x3cb1,0x4b2d
1,1,1,0x1b5d,0x22ce,0x79d,0x2a7b,0xf440,0x5bf,0x53f3,0x97f0,0x758d,0xea5f,0x9b77,0xeb5f,0xb616,0x7a49,0x48bd,0x8879,0x66d1,0x2a9e,0xd27c,0x6bad,0xbdd4,0x7d6f,0x9f69,0x4f56,0xa4e0,0x60f3,0xbe11,0x7d1a,0xaddd,0x96ee,0x3cb1,0x4b2d
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0xeb8,0x6699,0x4597,0x936b,0xcb90,0x1c61,0x8e2a,0x33b2,0xdc01,0x24e1,0x7640,0x5a5d,0x264d,0xa729,0x40cc,0x2bb0,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0xabaa,0xc0aa,0x6d0d,0xcbec,0x9be5,0xca3f,0x1209,0x331a,0xa30a,0x2d6a,0xb531,0x7a73,0x2125,0xb720,0xc28a,0x8f43,0xd8d3,0x6d61,0x1149,0x7856,0x9cfb,409,0xee1d,0x7f89,0x7937,0x627,0x678d,0x3ce3,0xd033,0x6b5d,0x997,0x9af2
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0xb450,0x7c3c,0x3828,0x1eeb,0xac90,0xb55f,0x90b5,0x83ee,0x6760,0x9419,0xdc2f,0x6e8a,0x3738,0x8945,0x46c2,0x1c32,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0xc875,0x283b,0xeb05,0x6e99,0x953b,0x6056,0x39b2,0x6d9b,0x291e,0xf253,0x1768,0x31ed,0x2fd4,0x6115,0xa65d,0x422d,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x8775,0x66a5,0xc0d,0x370c,0xf31c,54,0x54fa,0x92bd,0xc133,0xa004,0xe463,0xb1c9,0x1e2a,0x7a1,0xca58,0x6f68,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x5654,0xe6f4,0x5ce,0x8cc2,0xc1a9,0x94bd,0x5df5,0x8ec5,0x8065,0xf74f,0x57f3,0xfbc,0x38aa,0x347b,0x8627,0xdbad,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x3c3d,0xca91,0x72a7,0x4937,0x4a97,0xf601,0xeddd,0xf178,0x5a66,0x145b,0x5f2e,0xec91,0xc890,0xe6a2,0xb271,0x7582,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x9141,0x57f3,0xc2bb,0x7499,337,0x5c5c,0x691c,0xd684,0xdc5c,0xbeb1,0x2863,0xc1fd,0x3e27,0x1462,0xfb9a,0xb84,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0xf85,0x5e8e,0x20a4,0x867d,60,0x3ad4,0x2629,0x898a,0xd85b,0xc647,0xadc3,0x51a,0xe64d,0xa9f3,0xb8f3,0x2889,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0xdd2d,0xd1ff,0x407a,0x60fe,0xb495,0xfec7,0xc6f2,0xfffe,0xb42b,0x4813,0x3597,0x1a65,0xc183,0x30e5,0x698b,0xb46b,0xafe9,0xd65c,0xfc16,0x6cfd,0x7bf4,0x6af3,0xff89,0xbbd9,0xa996,0xba5b,0x978e,0x216f,0x47c1,0x31e3,0xda67,0x4bfd
0,1,0,0x9579,0x701b,0xe6f1,0x4492,0x5f8c,0x2db3,0xe9c1,0xbe5f,0xf230,0xdb03,0xb919,0xe845,0x13a5,0x2850,0x64e3,0x9a7c,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x3e54,0x2945,0x3a3f,0x2ebf,0x8599,0xbb1d,0x7820,0x1390,0xe24e,0x6c91,0xaf23,0x3aee,0xfbec,0x1e55,1021,0xb359,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0xef1d,0x6df,0xd62e,0x6e21,0xae6d,887,0xfa5,0x889d,0x5f44,0xab8d,0xf6be,0x3786,0xa27b,0xfa9,0x9196,0xc368,0x1855,0xa698,0x2578,0x165d,0x8774,0x597,0xf9b5,0xb35d,0x6d23,0x598e,0x4680,0x4cd5,0x1ffd,0xd3d0,0xfeb3,0x932b
0,1,0,0x37fe,0x44f8,0x304b,0x64cb,726,0x42ca,0x5653,0x3758,0xda22,0xd427,0x20c6,0x686b,0xb3f9,0xd4f0,0x9351,0x306d,0x1855,0xa698,0x2578,0x165d,0x8774,0x597,0xf9b5,0xb35d,0x6d23,0x598e,0x4680,0x4cd5,0x1ffd,0xd3d0,0xfeb3,0x932b
1,1,1,769,0x38b2,0xbae6,0x43aa,0xaab0,0x3506,0xa166,0xacff,0x657d,0x24df,0xe95c,0xa67,0xf972,0x3b2e,0x6ed2,0x3767,0x1855,0xa698,0x2578,0x165d,0x8774,0x597,0xf9b5,0xb35d,0x6d23,0x598e,0x4680,0x4cd5,0x1ffd,0xd3d0,0xfeb3,0x932b
0,1,0,0x1b7c,0x2204,0x3343,0x3161,0xba8e,0xbd98,0x58e1,0x661e,0x2607,0x98b7,0xc99,0xdc83,0xaacf,146,0xeedb,0x4446,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0xc8d7,0x25a3,0x34f3,0x9a23,0x3b60,0x2830,0x259e,0x8e2e,0x1394,0x48e8,0xd4bf,0x6d15,0xef62,0x8894,979,0xcd24,0xda6e,0x4024,0x80a0,0xe50b,0x12c6,0x5f6c,0xc803,0x1e1d,0xa2c2,0x77ad,0xb351,0xc991,0xbcf6,0x439a,0xf30e,0x4f12
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x51cb,0x4549,0xc778,0xd06c,0xe714,0x3b34,0xe2a3,0x6c5d,0x3f8e,0x4c2f,0x6e9b,0xcd59,0x5478,0x6c5a,0x17ce,0xff3b,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0xf842,0xe2ec,0xc54,0x4f50,0x8aab,0xf40b,0x82c,0xe398,0x58d0,0xd632,0xbbf8,0x9b05,0x20ea,0xa1cb,0xf4f7,0x9d67,0xcfaa,0x71df,0x93a5,0x1358,0x961a,0xcd94,0xeade,0x8647,0xccaa,0xf1c0,0xace1,0x5f21,0x25c4,0xe5cd,0xa0b0,0xd7b8
0,1,0,0xb77d,0xd541,0x161c,0x9e14,0x8ef6,0x34a8,0x8fd6,0xbfbb,0xea8f,0x6c4f,0x9b06,0xeb53,0x6160,0xd6e,0xae23,0x74a2,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
0,1,0,0x7e21,0xcd32,0xb853,0x67f9,0x146c,0xba3b,0xc81a,0xa333,0xddcf,0xadbe,0x8ff6,0x8659,0x1724,0xc457,0x1f6e,0xe866,0x52c3,0x503b,0x81f0,0x862b,0x427f,0x462e,0x5826,0xde1d,0x4111,0x819b,0xa5d8,0xcb87,0xa26d,985,0xb824,0xcd11
1,1,1,0x5a03,0xa93a,0xd99f,0xe8da,0x63d,0x163e,0x3314,0x2502,0xc3a8,0x3b85,0x553b,0x6501,0x7c52,0x7b8a,90,0x85f7,0x52c3,0x503b,0x81f0,0x862b,0x427f,0x462e,0x5826,0xde1d,0x4111,0x819b,0xa5d8,0xcb87,0xa26d,985,0xb824,0xcd11
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
1,1,1,0x59d,0xc511,0xf08a,0xfcdd,0x19fa,0x81e7,0xcbcd,0xaab8,0x9a34,0xff15,0xe7a8,0xf836,0x1819,0xf091,0xe03f,0x66f,0x608d,0xcc50,0xcaf1,0x31c8,0x63f6,0x6fb8,0x803b,0x946e,0x81ec,0xbb30,0xd1d8,0xda7,0x92a0,0x99ce,0x60d9,0xf23d
0,1,0,0xeb93,0x3ca9,0x1c70,0x6c5d,0xdef9,0xabec,0xc71e,0xec95,0x6c0a,0x5d1f,0xf0bc,0x5d3c,0xc205,0x37ed,0x7e88,0x2091,0xbe9c,0x605d,0x31cc,0x61d1,0xa80a,0xbfba,0x34c2,0x3f7d,0xe222,0x2969,0xe82c,0xdebf,0xc360,0x6f0c,0xd8fd,0x3210
0,1,0,0x482,0x4ba5,0x9ac9,0xdd9e,0xf4ec,0x5143,0x75da,0x692d,0xadff,0xf096,0x5715,0x2d62,0xfc1e,0x163d,750,0x8e62,0xbe9c,0x605d,0x31cc,0x61d1,0xa80a,0xbfba,0x34c2,0x3f7d,0xe222,0x2969,0xe82c,0xdebf,0xc360,0x6f0c,0xd8fd,0x3210
0,1,0,0xdfd5,0xf78e,0x2d24,0xd147,0xd557,0xea70,782,0xa23a,0x9100,0x29aa,0x48c3,0xcfb9,0xa9a8,0xff10,0x7917,0x334b,0xbe9c,0x605d,0x31cc,0x61d1,0xa80a,0xbfba,0x34c2,0x3f7d,0xe222,0x2969,0xe82c,0xdebf,0xc360,0x6f0c,0xd8fd,0x3210
0,1,0,0xbcfc,0x203f,0xd0c3,0x5939,0x93e2,0xbec0,0xfdfb,0xea9c,0x2537,0xf8d5,0x2e40,0xb761,0xd917,0xf50c,0x1fb1,0xd245,0xbe9c,0x605d,0x31cc,0x61d1,0xa80a,0xbfba,0x34c2,0x3f7d,0xe222,0x2969,0xe82c,0xdebf,0xc360,0x6f0c,0xd8fd,0x3210
0,1,0,0xd2f2,0x33a2,0x7744,0x81e3,0x2102,0xe98e,0x44d,0xd1c1,0x86f6,0x15b4,0x1893,0xcb5b,0x488e,0x823b,0xc24d,0x588f,0xbe9c,0x605d,0x31cc,0x61d1,0xa80a,0xbfba,0x34c2,0x3f7d,0xe222,0x2969,0xe82c,0xdebf,0xc360,0x6f0c,0xd8fd,0x3210
1,1,1,0xd0ba,0xc8ea,0x828,0xc10d,0x9ab1,0x3992,62,0xff7c,0x3ba7,0x18f4,0x39b2,0x21f9,0x9088,0xefd2,0xa62b,0x7912,0xbe9c,0x605d,0x31cc,0x61d1,0xa80a,0xbfba,0x34c2,0x3f7d,0xe222,0x2969,0xe82c,0xdebf,0xc360,0x6f0c,0xd8fd,0x3210
0,1,0,0xeb2f,0x1304,0x9c35,0xbe85,0x4140,0xf91b,0x62d9,0x43cd,0x865c,0xd895,0xf804,0x1dd5,0x8944,0x4747,0x458,0x39da,0xd184,0xc3b2,0x34ab,0xf9c0,426,0x33dc,0x2da3,0x8984,0xe959,0x400,0xe337,0x1e7c,0xc35c,0xe26d,0x137c,0x8655
1,1,1,0xd5cc,0xca5,0x99e9,0xbf5f,0x33ba,0x4069,0x5e5,0xbfab,309,0xeb75,0x7be6,0x6e2c,0x9e96,0x4cee,0xd0d6,0x3dde,0xd184,0xc3b2,0x34ab,0xf9c0,426,0x33dc,0x2da3,0x8984,0xe959,0x400,0xe337,0x1e7c,0xc35c,0xe26d,0x137c,0x8655
0,1,0,0x8964,0x8bb1,0xd711,0x9aee,0xc6f4,0xe468,0x4a0e,0xc5d0,0xe71a,0x9c85,0xf07,0x2742,0x42d0,0x54bf,0x56cd,0x9b5d,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee
